,Type,Name,NPV
0,Financing cash outflow,Capital gains taxes payable,0.0
1,Operating Expenses,Licensing and Permitting,0.0
2,Operating Expenses,Rent of land,0.0
3,Operating Expenses,Administrative expenses,0.0
4,Operating Expenses,Labor,0.0
5,Operating Expenses,Total annual maintenance,0.0
6,Operating Expenses,Installation cost,0.0
7,Operating Expenses,Sales tax,0.0
8,Operating Expenses,Credit card fees,0.0
9,Operating Expenses,Road tax,0.0
10,Operating Expenses,Hydrogen Storage,1.1707287737938846e-14
11,Operating Expenses,Non-depreciable assets,0.00010496667148423833
12,Operating Expenses,Desalination,0.0003583695681237451
13,Operating Expenses,Desalination Fixed O&M Cost,0.0015822342183562808
14,Operating Expenses,Compression,0.008514896390801413
15,Operating Expenses,Cash on hand reserve,0.008552236622000314
16,Operating Expenses,Water,0.016728232189973595
17,Operating Expenses,Property insurance,0.019267204600544492
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.02251535103336912
19,Operating Expenses,Battery Storage,0.030020468044492165
20,Operating Expenses,Solar Plant Fixed O&M Cost,0.03337940153198779
21,Operating Expenses,Solar Plant,0.05354391899079591
22,Operating Expenses,Var O&M,0.07110364896465178
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383897984789085
24,Financing cash outflow,Income taxes payable,0.08621857327838921
25,Operating Expenses,Electrolysis system,0.10326539021413465
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.276875167600319
27,Financing cash outflow,Repayment of debt,0.31260056828912103
28,Operating Expenses,Wind Plant,0.37716381714772046
29,Financing cash outflow,Interest expense,0.5044435370481546
30,Financing cash outflow,Dividends paid,0.6550802813148985
31,Operating Expenses,Grid Electricity Cost,1.8906174537156755
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.00010496667148423833
36,Financing cash inflow,One time capital incentive,0.0018012280826695298
37,Operating Revenue,Cash on hand recovery,0.008552236622000314
38,Financing cash inflow,Monetized tax losses,0.30974948331067964
39,Financing cash inflow,Inflow of debt,0.31260056828912103
40,Financing cash inflow,Inflow of equity,0.5525747813678115
41,Operating Revenue,Hydrogen sales,3.370391432939131
