,Type,Name,NPV
0,Financing cash outflow,Capital gains taxes payable,0.0
1,Operating Expenses,Licensing and Permitting,0.0
2,Operating Expenses,Rent of land,0.0
3,Operating Expenses,Administrative expenses,0.0
4,Operating Expenses,Labor,0.0
5,Operating Expenses,Total annual maintenance,0.0
6,Operating Expenses,Installation cost,0.0
7,Operating Expenses,Sales tax,0.0
8,Operating Expenses,Credit card fees,0.0
9,Operating Expenses,Road tax,0.0
10,Operating Expenses,Hydrogen Storage,2.095730696683057e-14
11,Operating Expenses,Non-depreciable assets,9.664572230786502e-05
12,Operating Expenses,Desalination,0.0003553423883881144
13,Operating Expenses,Desalination Fixed O&M Cost,0.0015688689446587782
14,Operating Expenses,Compression,0.008442970300815087
15,Operating Expenses,Cash on hand reserve,0.00930769620105846
16,Operating Expenses,Water,0.016728232189973623
17,Operating Expenses,Property insurance,0.01707913847061753
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.01942579018388087
19,Operating Expenses,Battery Storage,0.025901053578507825
20,Operating Expenses,Solar Plant Fixed O&M Cost,0.029347440036006298
21,Operating Expenses,Solar Plant,0.046267786514778066
22,Operating Expenses,Var O&M,0.07117337840339127
23,Operating Expenses,Electrolysis system,0.07683226630783675
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08313078450033318
25,Financing cash outflow,Income taxes payable,0.1763048326473613
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.24218030517971578
27,Financing cash outflow,Repayment of debt,0.27974539978433804
28,Operating Expenses,Wind Plant,0.3499619524414947
29,Financing cash outflow,Interest expense,0.4514251516319863
30,Financing cash outflow,Dividends paid,0.7175567989998438
31,Operating Expenses,Grid Electricity Cost,2.1699002818828115
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,9.664572230786502e-05
36,Financing cash inflow,One time capital incentive,0.0015540632147104695
37,Operating Revenue,Cash on hand recovery,0.00930769620105846
38,Financing cash inflow,Monetized tax losses,0.08993450357152301
39,Financing cash inflow,Inflow of debt,0.27974539978433804
40,Financing cash inflow,Inflow of equity,0.48248295717268186
41,Operating Revenue,Hydrogen sales,3.929610850643507
