,Type,Name,NPV
0,Financing cash outflow,Capital gains taxes payable,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Licensing and Permitting,0.0
3,Operating Expenses,Rent of land,0.0
4,Operating Expenses,Administrative expenses,0.0
5,Operating Expenses,Labor,0.0
6,Operating Expenses,Total annual maintenance,0.0
7,Operating Expenses,Installation cost,0.0
8,Operating Expenses,Sales tax,0.0
9,Operating Expenses,Credit card fees,0.0
10,Operating Expenses,Road tax,0.0
11,Operating Expenses,Non-depreciable assets,8.983726040994425e-05
12,Operating Expenses,Desalination,0.0007078057713856894
13,Operating Expenses,Desalination Fixed O&M Cost,0.003125026818822389
14,Operating Expenses,Water,0.01672823218997362
15,Operating Expenses,Compression,0.016817535148741562
16,Operating Expenses,Battery Storage Fixed O&M Cost,0.019270092357933036
17,Operating Expenses,Cash on hand reserve,0.019766481466905295
18,Operating Expenses,Battery Storage,0.025693456477244053
19,Operating Expenses,Solar Plant Fixed O&M Cost,0.028568248810362275
20,Operating Expenses,Solar Plant,0.0458263458841542
21,Operating Expenses,Var O&M,0.0672045815907961
22,Operating Expenses,Property insurance,0.0884860291720238
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.16558803838760922
24,Operating Expenses,Electrolysis system,0.3305503540756597
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.5379806337978876
26,Financing cash outflow,Income taxes payable,0.6480336402927871
27,Operating Expenses,Wind Plant,0.7883497478399526
28,Financing cash outflow,Repayment of debt,1.4176622261783778
29,Operating Expenses,Hydrogen Storage,1.428350848291747
30,Financing cash outflow,Interest expense,2.2876815343840473
31,Financing cash outflow,Dividends paid,3.396399107195215
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,8.983726040994425e-05
36,Financing cash inflow,One time capital incentive,0.001541607388634643
37,Operating Revenue,Cash on hand recovery,0.019766481466905295
38,Financing cash inflow,Monetized tax losses,0.7140754937266169
39,Financing cash inflow,Inflow of debt,1.4176622261783778
40,Financing cash inflow,Inflow of equity,2.495882728368504
41,Operating Revenue,Hydrogen sales,6.681785291459542
