,Type,Name,NPV
0,Financing cash outflow,Capital gains taxes payable,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Licensing and Permitting,0.0
3,Operating Expenses,Rent of land,0.0
4,Operating Expenses,Administrative expenses,0.0
5,Operating Expenses,Labor,0.0
6,Operating Expenses,Total annual maintenance,0.0
7,Operating Expenses,Installation cost,0.0
8,Operating Expenses,Sales tax,0.0
9,Operating Expenses,Credit card fees,0.0
10,Operating Expenses,Road tax,0.0
11,Operating Expenses,Non-depreciable assets,7.861778056858336e-05
12,Operating Expenses,Desalination,0.0007226452772535088
13,Operating Expenses,Desalination Fixed O&M Cost,0.0031905445861107524
14,Operating Expenses,Water,0.016728232189973616
15,Operating Expenses,Battery Storage Fixed O&M Cost,0.01686351393196113
16,Operating Expenses,Compression,0.017170123276178603
17,Operating Expenses,Cash on hand reserve,0.020000918929913986
18,Operating Expenses,Battery Storage,0.02248468524261484
19,Operating Expenses,Solar Plant Fixed O&M Cost,0.025000454220809504
20,Operating Expenses,Solar Plant,0.04010324433915664
21,Operating Expenses,Var O&M,0.06712651310000847
22,Operating Expenses,Property insurance,0.08970332107240683
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.16905967533468166
24,Operating Expenses,Electrolysis system,0.33748050937703933
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.5408526340294844
26,Financing cash outflow,Income taxes payable,0.659538488456455
27,Operating Expenses,Wind Plant,0.7925583392206346
28,Financing cash outflow,Repayment of debt,1.4365851394931297
29,Operating Expenses,Hydrogen Storage,1.4622115623471792
30,Financing cash outflow,Interest expense,2.3182174396000628
31,Financing cash outflow,Dividends paid,3.4449925207211787
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,7.861778056858336e-05
36,Financing cash inflow,One time capital incentive,0.0013490811145568905
37,Operating Revenue,Cash on hand recovery,0.02000091892991398
38,Financing cash inflow,Monetized tax losses,0.7195999425703078
39,Financing cash inflow,Inflow of debt,1.4365851394931297
40,Financing cash inflow,Inflow of equity,2.5289231392216607
41,Operating Revenue,Hydrogen sales,6.772012618600321
